grid_id,modelo_id,modelo,cenario,horizonte,ano_inicio,ano_fim,tr_anos,n_historico,n_futuro,q_historico_modelo_mm,q_futuro_modelo_mm,fator_mudanca_diaria,p24_ancorada_idf_mm,metodo_historico,metodo_futuro,erro_historico,erro_futuro,peso_rea,serie_observada_anual_usada
6931,108,CNRM-ESM2-1,ssp585,2060_2100,2060,2100,25,65,41,57.152473,56.759733,0.993128,223.486231,gev_mle,gev_mle,,,,False
6931,108,CNRM-ESM2-1,ssp585,2060_2100,2060,2100,50,65,41,67.561112,66.402799,0.982855,242.113756,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp126,2040_2059,2040,2059,25,65,40,47.508877,49.519512,1.042321,234.556268,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp126,2040_2059,2040,2059,50,65,40,50.999891,56.747350,1.112696,274.098212,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp126,2060_2100,2060,2100,25,65,82,47.508877,43.835458,0.922679,207.632932,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp126,2060_2100,2060,2100,50,65,82,50.999891,45.597525,0.894071,220.242885,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp245,2040_2059,2040,2059,25,65,20,47.508877,43.367609,0.912832,205.416895,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp245,2040_2059,2040,2059,50,65,20,50.999891,47.921013,0.939630,231.465684,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp245,2060_2100,2060,2100,25,65,41,47.508877,44.586676,0.938491,211.191183,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp245,2060_2100,2060,2100,50,65,41,50.999891,49.324784,0.967155,238.246106,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp370,2040_2059,2040,2059,25,65,20,47.508877,39.674518,0.835097,187.924041,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp370,2040_2059,2040,2059,50,65,20,50.999891,42.140669,0.826289,203.545751,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp370,2060_2100,2060,2100,25,65,41,47.508877,41.699579,0.877722,197.516034,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp370,2060_2100,2060,2100,50,65,41,50.999891,46.039345,0.902734,222.376942,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp585,2040_2059,2040,2059,25,65,20,47.508877,38.746035,0.815554,183.526147,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp585,2040_2059,2040,2059,50,65,20,50.999891,40.238522,0.788992,194.358097,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp585,2060_2100,2060,2100,25,65,41,47.508877,35.960378,0.756919,170.331487,gev_mle,gev_mle,,,,False
6931,121,CanESM5,ssp585,2060_2100,2060,2100,50,65,41,50.999891,38.579390,0.756460,186.344239,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp126,2040_2059,2040,2059,25,65,20,55.260027,66.583233,1.204908,271.143523,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp126,2040_2059,2040,2059,50,65,20,63.243468,79.170868,1.251843,308.375309,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp126,2060_2100,2060,2100,25,65,41,55.260027,60.957695,1.103107,248.234931,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp126,2060_2100,2060,2100,50,65,41,63.243468,69.407487,1.097465,270.346352,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp245,2040_2059,2040,2059,25,65,20,55.260027,73.566307,1.331275,299.580342,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp245,2040_2059,2040,2059,50,65,20,63.243468,85.567125,1.352980,333.289117,gev_mle,gev_mle,,,,False
