grid_id,modelo_id,cenario_id,cenario,ano,prec_max
6931,1,1,historical,1950,23.958090
6931,1,1,historical,1951,25.451916
6931,1,1,historical,1952,31.866962
6931,1,1,historical,1953,36.265118
6931,1,1,historical,1954,28.429918
6931,1,1,historical,1955,28.580215
6931,1,1,historical,1956,47.457176
6931,1,1,historical,1957,32.085308
6931,1,1,historical,1958,41.875290
6931,1,1,historical,1959,38.369730
6931,1,1,historical,1960,28.916693
6931,1,1,historical,1961,33.120600
6931,1,1,historical,1962,32.214123
6931,1,1,historical,1963,30.945936
6931,1,1,historical,1964,31.455341
6931,1,1,historical,1965,36.205658
6931,1,1,historical,1966,31.297583
6931,1,1,historical,1967,31.069570
6931,1,1,historical,1968,36.258780
6931,1,1,historical,1969,28.379395
6931,1,1,historical,1970,40.806320
6931,1,1,historical,1971,35.113070
6931,1,1,historical,1972,27.101790
6931,1,1,historical,1973,25.167440
6931,1,1,historical,1974,27.865840
6931,1,1,historical,1975,34.467587
6931,1,1,historical,1976,29.633364
6931,1,1,historical,1977,19.313278
6931,1,1,historical,1978,23.267424
6931,1,1,historical,1979,28.517616
6931,1,1,historical,1980,28.953108
6931,1,1,historical,1981,36.403908
6931,1,1,historical,1982,25.276924
6931,1,1,historical,1983,44.332882
6931,1,1,historical,1984,25.444174
6931,1,1,historical,1985,40.381850
6931,1,1,historical,1986,23.329065
6931,1,1,historical,1987,30.595572
6931,1,1,historical,1988,30.425312
6931,1,1,historical,1989,32.008110
6931,1,1,historical,1990,25.718973
6931,1,1,historical,1991,38.431700
6931,1,1,historical,1992,32.949368
6931,1,1,historical,1993,31.612064
6931,1,1,historical,1994,27.480984
6931,1,1,historical,1995,31.816840
6931,1,1,historical,1996,34.745785
6931,1,1,historical,1997,35.645973
6931,1,1,historical,1998,39.642540
6931,1,1,historical,1999,25.254705
6931,1,1,historical,2000,37.191020
6931,1,1,historical,2001,32.556717
6931,1,1,historical,2002,25.553108
6931,1,1,historical,2003,29.701283
6931,1,1,historical,2004,28.262592
6931,1,1,historical,2005,33.343983
6931,1,1,historical,2006,33.335170
6931,1,1,historical,2007,27.908695
6931,1,1,historical,2008,27.808285
6931,1,1,historical,2009,26.976126
6931,1,1,historical,2010,27.427030
6931,1,1,historical,2011,29.933138
6931,1,1,historical,2012,32.279470
6931,1,1,historical,2013,32.431870
6931,1,1,historical,2014,27.805477
6931,1,2,ssp126,2015,34.377960
6931,1,2,ssp126,2016,25.341051
6931,1,2,ssp126,2017,25.522198
6931,1,2,ssp126,2018,28.438023
6931,1,2,ssp126,2019,26.723286
6931,1,2,ssp126,2020,30.447210
6931,1,2,ssp126,2021,26.899767
6931,1,2,ssp126,2022,40.110060
6931,1,2,ssp126,2023,32.564865
6931,1,2,ssp126,2024,23.752720
6931,1,2,ssp126,2025,29.589567
6931,1,2,ssp126,2026,31.989440
6931,1,2,ssp126,2027,29.159506
6931,1,2,ssp126,2028,25.657324
6931,1,2,ssp126,2029,24.759070
6931,1,2,ssp126,2030,26.824535
6931,1,2,ssp126,2031,65.196700
6931,1,2,ssp126,2032,30.352383
6931,1,2,ssp126,2033,19.951738
6931,1,2,ssp126,2034,33.784870
6931,1,2,ssp126,2035,32.621037
6931,1,2,ssp126,2036,28.476740
6931,1,2,ssp126,2037,28.097746
6931,1,2,ssp126,2038,36.887047
6931,1,2,ssp126,2039,35.022972
6931,1,2,ssp126,2040,21.470465
6931,1,2,ssp126,2041,29.728025
6931,1,2,ssp126,2042,34.010980
6931,1,2,ssp126,2043,22.276237
6931,1,2,ssp126,2044,30.084513
6931,1,2,ssp126,2045,33.767110
6931,1,2,ssp126,2046,28.791506
6931,1,2,ssp126,2047,29.158552
6931,1,2,ssp126,2048,23.826113
6931,1,2,ssp126,2049,23.018011
6931,1,2,ssp126,2050,25.162754
6931,1,2,ssp126,2051,20.129065
6931,1,2,ssp126,2052,28.176899
6931,1,2,ssp126,2053,23.571010
6931,1,2,ssp126,2054,20.652733
6931,1,2,ssp126,2055,30.291634
6931,1,2,ssp126,2056,26.482533
6931,1,2,ssp126,2057,23.322740
6931,1,2,ssp126,2058,46.514442
6931,1,2,ssp126,2059,32.642994
6931,1,2,ssp126,2060,29.088161
6931,1,2,ssp126,2061,33.641990
6931,1,2,ssp126,2062,33.895515
6931,1,2,ssp126,2063,39.705420
6931,1,2,ssp126,2064,35.652164
6931,1,2,ssp126,2065,34.727848
6931,1,2,ssp126,2066,34.888535
6931,1,2,ssp126,2067,29.187347
6931,1,2,ssp126,2068,31.635150
6931,1,2,ssp126,2069,69.190750
6931,1,2,ssp126,2070,63.238380
6931,1,2,ssp126,2071,27.537695
6931,1,2,ssp126,2072,33.110000
6931,1,2,ssp126,2073,29.482084
6931,1,2,ssp126,2074,22.271034
6931,1,2,ssp126,2075,32.185207
6931,1,2,ssp126,2076,30.722073
6931,1,2,ssp126,2077,43.262882
6931,1,2,ssp126,2078,26.143880
6931,1,2,ssp126,2079,25.787290
6931,1,2,ssp126,2080,40.057312
6931,1,2,ssp126,2081,41.872356
6931,1,2,ssp126,2082,28.958452
6931,1,2,ssp126,2083,36.534367
6931,1,2,ssp126,2084,40.800735
6931,1,2,ssp126,2085,30.922043
6931,1,2,ssp126,2086,35.866722
6931,1,2,ssp126,2087,31.619827
6931,1,2,ssp126,2088,40.103966
6931,1,2,ssp126,2089,48.052822
6931,1,2,ssp126,2090,22.856127
6931,1,2,ssp126,2091,29.955020
6931,1,2,ssp126,2092,20.032537
6931,1,2,ssp126,2093,42.623940
6931,1,2,ssp126,2094,25.783220
6931,1,2,ssp126,2095,43.716700
6931,1,2,ssp126,2096,22.145042
6931,1,2,ssp126,2097,41.861004
6931,1,2,ssp126,2098,25.952656
6931,1,2,ssp126,2099,26.960579
6931,1,2,ssp126,2100,24.307636
6931,1,3,ssp245,2015,27.203896
6931,1,3,ssp245,2016,26.445591
6931,1,3,ssp245,2017,26.343437
6931,1,3,ssp245,2018,39.732807
6931,1,3,ssp245,2019,22.926899
6931,1,3,ssp245,2020,32.043888
6931,1,3,ssp245,2021,33.112740
6931,1,3,ssp245,2022,34.856342
6931,1,3,ssp245,2023,28.788553
6931,1,3,ssp245,2024,26.396070
6931,1,3,ssp245,2025,32.230785
6931,1,3,ssp245,2026,31.120390
6931,1,3,ssp245,2027,35.534325
6931,1,3,ssp245,2028,27.815264
6931,1,3,ssp245,2029,23.998348
6931,1,3,ssp245,2030,30.722048
6931,1,3,ssp245,2031,27.506964
6931,1,3,ssp245,2032,33.718716
6931,1,3,ssp245,2033,32.064710
6931,1,3,ssp245,2034,34.880325
6931,1,3,ssp245,2035,30.746134
6931,1,3,ssp245,2036,25.122097
6931,1,3,ssp245,2037,24.629877
6931,1,3,ssp245,2038,29.606857
6931,1,3,ssp245,2039,27.901691
6931,1,3,ssp245,2040,30.626982
6931,1,3,ssp245,2041,21.756931
6931,1,3,ssp245,2042,24.540106
6931,1,3,ssp245,2043,27.959929
6931,1,3,ssp245,2044,60.336980
6931,1,3,ssp245,2045,43.606410
6931,1,3,ssp245,2046,22.262540
6931,1,3,ssp245,2047,20.701609
6931,1,3,ssp245,2048,29.931437
6931,1,3,ssp245,2049,29.133173
6931,1,3,ssp245,2050,52.270020
6931,1,3,ssp245,2051,36.332253
6931,1,3,ssp245,2052,26.876184
6931,1,3,ssp245,2053,36.496426
6931,1,3,ssp245,2054,27.677725
6931,1,3,ssp245,2055,27.160255
6931,1,3,ssp245,2056,30.703545
6931,1,3,ssp245,2057,29.676065
6931,1,3,ssp245,2058,21.506289
6931,1,3,ssp245,2059,31.354973
6931,1,3,ssp245,2060,38.271114
6931,1,3,ssp245,2061,24.763706
6931,1,3,ssp245,2062,25.719706
6931,1,3,ssp245,2063,28.255316
6931,1,3,ssp245,2064,28.183731
6931,1,3,ssp245,2065,36.318745
6931,1,3,ssp245,2066,29.397024
6931,1,3,ssp245,2067,24.698196
6931,1,3,ssp245,2068,26.671455
6931,1,3,ssp245,2069,29.221123
6931,1,3,ssp245,2070,17.032894
6931,1,3,ssp245,2071,32.443012
6931,1,3,ssp245,2072,28.684679
6931,1,3,ssp245,2073,23.813694
6931,1,3,ssp245,2074,26.864998
6931,1,3,ssp245,2075,18.082510
6931,1,3,ssp245,2076,23.612442
6931,1,3,ssp245,2077,27.096546
6931,1,3,ssp245,2078,38.034393
6931,1,3,ssp245,2079,22.955605
6931,1,3,ssp245,2080,26.864494
6931,1,3,ssp245,2081,50.728832
6931,1,3,ssp245,2082,22.164516
6931,1,3,ssp245,2083,18.861332
6931,1,3,ssp245,2084,28.975355
6931,1,3,ssp245,2085,23.795324
6931,1,3,ssp245,2086,42.246014
6931,1,3,ssp245,2087,58.625950
6931,1,3,ssp245,2088,20.208113
6931,1,3,ssp245,2089,26.301786
6931,1,3,ssp245,2090,24.535217
6931,1,3,ssp245,2091,33.880737
