grid_id,lon,lat,distancia_m,distancia_km
6931,-34.875000,-7.375000,12598.931190,12.598931
18355,-34.875000,-7.125000,16557.280266,16.557280
19495,-35.125000,-7.375000,25843.636118,25.843636
18856,-35.125000,-7.125000,27992.589667,27.992590
