scenario,link_id,from_node,to_node,length_m,from_elevation_m,to_elevation_m,slope_percent,current_diameter_m,max_flow_cms,current_full_flow_capacity_cms,required_diameter_full_flow_m,nominal_candidate_m,max_velocity_mps,max_full_flow_ratio_reported,status
TR25,L_B_0031,N_B_0014,N_B_0016,78.751,58.917,55.19,4.732638315703932,0.8,2.913,2.8767237435637667,0.803768273280598,1.0,5.94,1.01,PRE_DIMENSIONAR_MANNING
TR25,L_B_0032,N_B_0016,N_B_0018,75.603,55.19,52.56,3.478697935267113,0.8,2.981,2.466350865777248,0.8589248259377279,1.0,5.93,1.21,PRE_DIMENSIONAR_MANNING
TR25,L_B_0033,N_B_0018,N_B_0022,69.552,52.56,49.897,3.8287899700943226,0.8,3.122,2.587481610789483,0.8583676606270033,1.0,6.21,1.21,PRE_DIMENSIONAR_MANNING
TR25,L_B_0034,N_B_0022,N_B_0042,154.255,49.897,42.798,4.602119866454895,0.8,3.703,2.8367787380866805,0.8840729045203515,1.0,7.37,1.3,PRE_DIMENSIONAR_MANNING
TR25,L_B_0035,N_B_0042,N_B_0043,58.13,42.798,40.784,3.4646482023051832,0.8,4.006,2.461365289256422,0.9603190949212428,1.0,7.97,1.63,PRE_DIMENSIONAR_MANNING
TR25,L_B_0036,N_B_0038,N_B_0036,114.495,38.503,37.277,1.0707891174287079,0.8,1.984,1.3683540266494136,0.9195888238735964,1.0,3.95,1.45,PRE_DIMENSIONAR_MANNING
TR25,L_B_0037,N_B_0036,N_B_0034,133.056,37.277,36.72,0.4186207311207327,0.8,2.54,0.8555725968208573,1.2031126854115588,1.5,5.05,2.97,PRE_DIMENSIONAR_MANNING
TR25,L_B_0038,N_B_0034,N_B_0040,127.724,36.72,32.932,2.9657699414362195,0.8,3.473,2.277273695863064,0.9371812033978472,1.0,6.91,1.52,PRE_DIMENSIONAR_MANNING
TR25,L_B_0039,N_B_0040,N_B_0044,39.454,32.932,31.094,4.658589750088713,0.8,4.68,2.854129888734067,0.9630071947602741,1.0,9.34,1.64,PRE_DIMENSIONAR_MANNING
TR25,L_B_0040,N_B_0045,N_B_0026,67.97,56.943,50.772,9.07900544357805,0.8,0.244,3.9844248349765072,0.28068813665349607,0.3,1.41,0.06,PRE_DIMENSIONAR_MANNING
TR25,L_B_0041,N_B_0026,N_B_0028,78.67,50.772,49.725,1.3308758103470155,0.8,0.974,1.5255107272489543,0.6761123534092546,0.8,3.53,0.64,PRE_DIMENSIONAR_MANNING
TR25,L_B_0042,N_B_0028,N_B_C0030,78.99,49.725,45.295,5.6083048487150275,0.8,1.537,3.1315713153675393,0.6126068129926273,0.8,3.82,0.49,PRE_DIMENSIONAR_MANNING
TR25,L_B_0043,N_B_0032,N_B_C0030,26.621,47.651,45.295,8.850155891964997,0.8,1.592,3.9338877223286346,0.5698498005181524,0.6,4.1,0.4,PRE_DIMENSIONAR_MANNING
TR25,L_B_0044,N_B_0032,N_B_0042,61.203,47.651,42.798,7.929349868470502,0.8,0.316,3.723619453333538,0.3172200717555685,0.4,1.42,0.08,PRE_DIMENSIONAR_MANNING
TR25,D_B_01,N_B_0043,O_B_DISS_01,47.436,40.784,40.784,0.0,1.2,5.039,,,,4.49,50.98,SENTIDO_OU_COTA_AUDITAR
TR25,D_B_02,N_B_0044,O_B_DISS_02,52.301,31.094,27.959,5.994149251448349,1.2,7.133,9.545242520646225,1.0758165408768163,1.2,9.27,0.75,PRE_DIMENSIONAR_MANNING
TR50,L_B_0001,N_B_0001,N_B_0002,107.97,121.686,117.583,3.800129665647873,0.6,0.292,1.196949268507027,0.3535016260357113,0.4,2.01,0.24,PRE_DIMENSIONAR_MANNING
TR50,L_B_0002,N_B_0002,N_B_0003,107.965,117.583,112.589,4.625573102394294,0.6,0.6,1.320563563847338,0.4463476246459658,0.5,2.12,0.45,PRE_DIMENSIONAR_MANNING
TR50,L_B_0003,N_B_0004,N_B_0005,66.017,117.331,115.798,2.3221291485526474,0.6,0.429,0.9356635705996438,0.44787089397216373,0.5,1.88,0.46,PRE_DIMENSIONAR_MANNING
TR50,L_B_0004,N_B_0006,N_B_0002,163.621,121.738,117.583,2.5394050885888735,0.6,0.396,0.9784587664215283,0.4273989952535445,0.5,1.49,0.41,PRE_DIMENSIONAR_MANNING
TR50,L_B_0005,N_B_0002,N_B_0004,14.668,117.583,117.331,1.7180256340332383,0.6,0.54,0.8048062782083625,0.5166121928273659,0.6,2.28,0.67,PRE_DIMENSIONAR_MANNING
TR50,L_B_0006,N_B_0007,N_B_0008,281.7,119.145,109.522,3.4160454384096526,0.6,0.632,1.1348497211267246,0.4817461710208718,0.5,2.23,0.56,PRE_DIMENSIONAR_MANNING
TR50,L_B_0007,N_B_0009,N_B_0010,388.517,116.993,98.532,4.751658228597462,0.6,0.524,1.3384406978618049,0.42211016224388975,0.5,2.37,0.39,PRE_DIMENSIONAR_MANNING
TR50,L_B_0008,N_B_0010,N_B_0011,427.157,98.532,62.824,8.359455656819389,0.6,1.776,1.7752745822902947,0.6000919283972944,0.8,6.28,1.0,PRE_DIMENSIONAR_MANNING
TR50,L_B_0009,N_B_0012,N_B_0010,307.736,110.012,98.532,3.7304702732212043,0.6,0.487,1.185928012836349,0.4297369903776569,0.5,1.87,0.41,PRE_DIMENSIONAR_MANNING
TR50,L_B_0010,N_B_0013,N_B_0014,702.483,107.858,58.917,6.9668589844878825,0.6,0.54,1.620671690065189,0.3973408972102353,0.4,2.56,0.33,PRE_DIMENSIONAR_MANNING
TR50,L_B_0011,N_B_0015,N_B_0016,667.576,105.376,55.19,7.517645930950184,0.6,0.318,1.6835168577157875,0.32116622668656597,0.4,1.64,0.19,PRE_DIMENSIONAR_MANNING
TR50,L_B_0012,N_B_0017,N_B_0018,595.461,100.973,52.56,8.130339350520016,0.6,0.509,1.750777159928048,0.37753640987024595,0.4,2.47,0.29,PRE_DIMENSIONAR_MANNING
TR50,L_B_0013,N_B_0019,N_B_0020,204.897,92.29,70.557,10.606792681200801,0.6,0.301,1.9997171720093245,0.2949514056518218,0.3,1.67,0.15,PRE_DIMENSIONAR_MANNING
TR50,L_B_0014,N_B_0020,N_B_0021,153.213,70.557,57.638,8.432052110460605,0.6,1.783,1.7829664731112744,0.6000042308735188,0.8,6.31,1.0,PRE_DIMENSIONAR_MANNING
TR50,L_B_0015,N_B_0021,N_B_0022,180.711,57.638,49.897,4.283635196529264,0.6,1.271,1.2708162952732052,0.6000325237381914,0.8,4.49,1.0,PRE_DIMENSIONAR_MANNING
TR50,L_B_0016,N_B_0023,N_B_0020,193.241,84.946,70.557,7.446142381792681,0.6,0.233,1.675491403920457,0.2863231044643508,0.3,1.27,0.14,PRE_DIMENSIONAR_MANNING
TR50,L_B_0017,N_B_0024,N_B_0021,287.505,72.57,57.638,5.193648806107718,0.6,0.247,1.3993064163354278,0.31310881769068405,0.4,1.29,0.18,PRE_DIMENSIONAR_MANNING
TR50,L_B_0018,N_B_0025,N_B_0026,204.059,61.72,50.772,5.36511499125253,0.6,0.414,1.422217614613056,0.3777148923877432,0.4,2.29,0.29,PRE_DIMENSIONAR_MANNING
TR50,L_B_0019,N_B_0027,N_B_0028,139.453,55.402,49.725,4.070905609775336,0.6,0.302,1.238859490636428,0.3534032868804974,0.4,2.01,0.24,PRE_DIMENSIONAR_MANNING
TR50,L_B_0020,N_B_0029,N_B_C0030,112.496,53.562,45.295,7.348705731759349,0.6,0.168,1.664492966672548,0.2538992946573934,0.3,0.94,0.1,PRE_DIMENSIONAR_MANNING
TR50,L_B_0021,N_B_0031,N_B_0032,103.004,49.035,47.651,1.343637140305224,0.6,1.73,0.7117337098913922,0.8371426395482138,1.0,6.78,2.43,PRE_DIMENSIONAR_MANNING
TR50,L_B_0022,N_B_0033,N_B_0034,314.178,51.967,36.72,4.852981430908594,0.6,0.411,1.3526357159107163,0.38383901362766154,0.4,1.95,0.3,PRE_DIMENSIONAR_MANNING
TR50,L_B_0023,N_B_0035,N_B_0036,284.551,54.973,37.277,6.218920334140452,0.6,0.45,1.5312074468547228,0.37906892253982377,0.4,2.17,0.29,PRE_DIMENSIONAR_MANNING
TR50,L_B_0024,N_B_0037,N_B_0038,267.2,60.706,38.503,8.309505988023954,0.6,0.385,1.7699627988004771,0.33861989603653875,0.4,1.95,0.22,PRE_DIMENSIONAR_MANNING
TR50,L_B_0025,N_B_0039,N_B_0040,337.171,48.641,32.932,4.659060239463061,0.6,0.487,1.3253350963350805,0.41219476691233664,0.5,2.27,0.37,PRE_DIMENSIONAR_MANNING
