scenario,link_id,from_node,to_node,length_m,from_elevation_m,to_elevation_m,slope_percent,current_diameter_m,max_flow_cms,current_full_flow_capacity_cms,required_diameter_full_flow_m,nominal_candidate_m,max_velocity_mps,max_full_flow_ratio_reported,status,flag_triagem
TR50,L_B_0015,N_B_0021,N_B_0022,180.711,57.638,49.897,4.283635196529264,0.6,1.271,1.2708162952732052,0.6000325237381914,0.8,4.49,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0021,N_B_0031,N_B_0032,103.004,49.035,47.651,1.343637140305224,0.6,1.73,0.7117337098913922,0.8371426395482138,1.0,6.78,2.43,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0027,N_B_0005,N_B_0003,60.266,115.798,112.589,5.324727043440752,0.8,1.701,3.051372128817419,0.6425669940894443,0.8,3.38,0.56,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0028,N_B_0003,N_B_0008,73.528,112.589,109.522,4.171200087041662,0.8,2.901,2.7007041488260177,0.8217533929917245,1.0,6.22,1.07,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0029,N_B_0008,N_B_0011,602.887,109.522,62.824,7.745730128531552,0.8,3.681,3.68025304677571,0.8000608848775279,1.0,7.32,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0030,N_B_0011,N_B_0014,75.505,62.824,58.917,5.174491755512876,0.8,3.009,3.0080174394337535,0.8000979841679792,1.0,6.48,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0031,N_B_0014,N_B_0016,78.751,58.917,55.19,4.732638315703932,0.8,2.921,2.8767237435637667,0.8045953376329789,1.0,5.95,1.01,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0032,N_B_0016,N_B_0018,75.603,55.19,52.56,3.478697935267113,0.8,2.985,2.466350865777248,0.8593568445159336,1.0,5.94,1.21,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0033,N_B_0018,N_B_0022,69.552,52.56,49.897,3.8287899700943226,0.8,3.125,2.587481610789483,0.8586768770881115,1.0,6.22,1.21,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0034,N_B_0022,N_B_0042,154.255,49.897,42.798,4.602119866454895,0.8,3.704,2.8367787380866805,0.8841624263581457,1.0,7.37,1.3,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0035,N_B_0042,N_B_0043,58.13,42.798,40.784,3.4646482023051832,0.8,4.005,2.461365289256422,0.9602291928352207,1.0,7.97,1.63,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0036,N_B_0038,N_B_0036,114.495,38.503,37.277,1.0707891174287079,0.8,2.025,1.3683540266494136,0.9266696606731533,1.0,4.03,1.48,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0037,N_B_0036,N_B_0034,133.056,37.277,36.72,0.4186207311207327,0.8,2.556,0.8555725968208573,1.2059491084061016,1.5,5.08,2.99,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0038,N_B_0034,N_B_0040,127.724,36.72,32.932,2.9657699414362195,0.8,3.494,2.277273695863064,0.9393022520085871,1.0,6.95,1.53,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0039,N_B_0040,N_B_0044,39.454,32.932,31.094,4.658589750088713,0.8,4.882,2.854129888734067,0.9783888676883956,1.0,9.71,1.71,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,L_B_0041,N_B_0026,N_B_0028,78.67,50.772,49.725,1.3308758103470155,0.8,1.109,1.5255107272489543,0.7098369330465192,0.8,3.64,0.73,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0042,N_B_0028,N_B_C0030,78.99,49.725,45.295,5.6083048487150275,0.8,1.753,3.1315713153675393,0.6435722959812662,0.8,4.23,0.56,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,L_B_0043,N_B_0032,N_B_C0030,26.621,47.651,45.295,8.850155891964997,0.8,1.865,3.9338877223286346,0.6046949133393182,0.8,4.55,0.47,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR50,D_B_01,N_B_0043,O_B_DISS_01,47.436,40.784,40.784,0.0,1.2,5.199,,,,4.63,52.6,SENTIDO_OU_COTA_AUDITAR,SENTIDO_OU_COTA_AUDITAR;Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR50,D_B_02,N_B_0044,O_B_DISS_02,52.301,31.094,27.959,5.994149251448349,1.2,7.705,9.545242520646225,1.1073907065229436,1.2,9.4,0.81,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
