"id_link","node_in","node_out","classe","origem","comp_m","cota_in","cota_out","decl_pct","diam_m","obs","bacia","ID_LINK_ORIG","ID_LINK_SEG","META_ID","META_ORIG","SELECAO_REC","COMP_REC_M","PERC_LINK_REC","X_IN_REC","Y_IN_REC","X_OUT_REC","Y_OUT_REC"
"L_A_0028","N_A_0044","N_A_0043","COLETOR","ColetorA4_F006",411.239131054185,96.9080123901367,88.6134872436523,2.01695911700375,0.6,"DECLIVE_MDE","A","L_A_0028","L_A_0028_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",6.57775819859684,1.59949715430421,288654.519206419,9196153.93937507,288656.924074196,9196160.0617532
"L_A_0079","N_A_0119","N_A_0120","COLETOR","ColetorA8_F010",63.3624945454131,40.2877426147461,37.4946784973145,4.40807158472872,0.6,"DECLIVE_MDE","A","L_A_0079","L_A_0079_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",11.120971390272,17.5513471652952,287934.80204248,9196196.70716627,287933.286315904,9196185.68997163
"L_A_0080","N_A_0120","N_A_0121","COLETOR","ColetorA8_F010",2.19304512033994,37.4946784973145,37.4946784973145,0,0.6,"DIRECAO_ORIGINAL_COTA_IGUAL","A","L_A_0080","L_A_0080_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",2.19304512026061,100,287933.286315904,9196185.68997163,287932.987416046,9196183.51739119
"L_A_0081","N_A_0122","N_A_0123","COLETOR","ColetorA8_F011",147.558474329329,47.3936538696289,39.3800468444824,5.43080094963662,0.6,"DECLIVE_MDE","A","L_A_0081","L_A_0081_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",10.6869050141909,7.24248814767996,288004.850065402,9196196.34059141,288002.987416045,9196185.81726132
"L_A_0082","N_A_0124","N_A_0125","COLETOR","ColetorA8_F012",145.58230691205,50.3902053833008,42.0407524108887,5.73521133818563,0.6,"DECLIVE_MDE","A","L_A_0082","L_A_0082_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",6.08812449427614,4.18191236518492,288078.874127979,9196191.8404666,288077.987416045,9196185.81726132
"L_A_0083","N_A_0126","N_A_0127","COLETOR","ColetorA8_F013",148.641949064982,51.374828338623,45.8127136230469,3.74195491283863,0.6,"DECLIVE_MDE","A","L_A_0083","L_A_0083_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",8.34909369182774,5.61691618304862,288149.258441062,9196187.56161209,288147.918957328,9196179.32066865
"L_A_0084","N_A_0128","N_A_0129","COLETOR","ColetorA8_F014",150.756407238495,53.5864639282227,49.5352630615234,2.6872495444192,0.6,"DECLIVE_MDE","A","L_A_0084","L_A_0084_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",8.10529046928104,5.37641525010764,288222.29279356,9196183.11761732,288221.068564867,9196175.10531442
"L_A_0085","N_A_0130","N_A_0131","COLETOR","ColetorA8_F015",146.700190348386,53.1654586791992,51.6653861999512,1.02254296718065,0.6,"DECLIVE_MDE","A","L_A_0085","L_A_0085_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",5.71789055795971,3.89767085126864,288289.403087451,9196179.19425822,288288.450301671,9196173.55630897
"L_A_0086","N_A_0132","N_A_0131","COLETOR","ColetorA8_F015",2.77788501037841,51.7040939331055,51.6653861999512,1.39342460215889,0.6,"DECLIVE_MDE","A","L_A_0086","L_A_0086_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",2.77788501038811,100,288287.987416047,9196170.81726132,288288.450301671,9196173.55630897
"L_A_0087","N_A_0133","N_A_0134","COLETOR","ColetorA8_F016",144.474493991609,55.4440155029297,54.9840431213379,0.318376184531583,0.6,"DECLIVE_MDE","A","L_A_0087","L_A_0087_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",4.67461454502853,3.23559848930976,288364.446146477,9196175.4283067,288363.770557014,9196170.80276889
"L_A_0088","N_A_0134","N_A_0135","COLETOR","ColetorA8_F016",3.04597471291361,54.9840431213379,53.6717720031738,43.0821409186558,0.6,"DECLIVE_MDE","A","L_A_0088","L_A_0088_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",3.04597471301123,100,288363.770557014,9196170.80276889,288363.131983642,9196167.82448314
"L_A_0089","N_A_0136","N_A_0135","COLETOR","ColetorA8_F016",5.2432671474634,55.702465057373,53.6717720031738,38.729536319385,0.6,"DECLIVE_MDE","A","L_A_0089","L_A_0089_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",5.24326714742036,100,288362.162707696,9196162.67158546,288363.131983642,9196167.82448314
"L_A_0090","N_A_0137","N_A_0138","COLETOR","ColetorA8_F017",153.420347428718,60.2020034790039,58.2544937133789,1.26939470433011,0.6,"DECLIVE_MDE","A","L_A_0090","L_A_0090_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",8.72177364724069,5.6848871700674,288434.531959319,9196170.98865869,288433.328247737,9196162.35034786
"L_A_0091","N_A_0138","N_A_0139","COLETOR","ColetorA8_F017",2.469575675748,58.2544937133789,58.2544937133789,0,0.6,"DIRECAO_ORIGINAL_COTA_IGUAL","A","L_A_0091","L_A_0091_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",2.46957567578816,100,288433.328247737,9196162.35034786,288432.987416047,9196159.90440473
"L_A_0092","N_A_0141","N_A_0140","COLETOR","ColetorA8_F018",156.996564665276,70.9038009643555,65.1036376953125,3.69445234767347,0.6,"DECLIVE_MDE","A","L_A_0092","L_A_0092_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",7.62282395163985,4.85540812176025,288504.509435735,9196157.62179088,288505.649387498,9196165.15889609
"L_A_0093","N_A_0143","N_A_0142","COLETOR","ColetorA8_F019",157.469005085658,84.3880767822266,70.5722885131836,8.77365565466524,0.6,"DECLIVE_MDE","A","L_A_0093","L_A_0093_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",6.68037224464313,4.242341050551,288577.930605004,9196155.35458483,288578.993600385,9196161.94984177
"L_A_0098","N_A_0150","N_A_0151","COLETOR","ColetorA8_F022",90.0529230496832,30.2250938415527,27.6653079986572,2.84253498521447,0.6,"DECLIVE_MDE","A","L_A_0098","L_A_0098_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",7.06242592815935,7.84252824782058,287799.775638751,9196178.75042387,287800.075160807,9196185.80649548
