META_ID,BACIA,AREA_HA,N_TRECHOS,N_TRECHOS_A,N_TRECHOS_B,EXT_REDE_M,EXT_DENTRO_M,N_NOS,N_DISSIP,DPROP_MIN_M,DPROP_MAX_M,DREQ25_MAX_M,DREQ50_MAX_M,Q25_MAX_CMS,Q50_MAX_CMS,N_CRITICOS,NOS_INICIO,NOS_FIM
META_01,B,2.12,18,0,18,5074.34,1073.53,11,1,0.4,1.2,0.96,0.96,5.039,5.199,10,N_B_0009;N_B_0010;N_B_0012;N_B_0013;N_B_0015;N_B_0017;N_B_0021;N_B_0033;N_B_0037;N_B_0008;N_B_0011;N_B_0014;N_B_0016;N_B_0018;N_B_0022;N_B_0042;N_B_0032;N_B_0043,N_B_0010;N_B_0011;N_B_0014;N_B_0016;N_B_0018;N_B_0022;N_B_0034;N_B_0038;N_B_0042;N_B_0043;O_B_DISS_01
META_02,B,1.53,8,0,8,1402.93,665.45,6,1,0.4,1.5,1.203,1.206,7.133,7.705,5,N_B_0033;N_B_0035;N_B_0039;N_B_0038;N_B_0036;N_B_0034;N_B_0040;N_B_0044,N_B_0034;N_B_0036;N_B_0040;N_B_0044;O_B_DISS_02
META_03,B,1.22,3,0,3,821.93,675.09,2,0,0.4,1.0,0.859,0.859,2.981,2.985,2,N_B_0015;N_B_0014;N_B_0016,N_B_0016;N_B_0018
META_04,A,1.73,45,45,0,5193.12,1108.53,19,1,0.3,1.2,0.962,1.025,4.629,5.076,26,N_A_0044;N_A_0119;N_A_0120;N_A_0122;N_A_0124;N_A_0126;N_A_0128;N_A_0130;N_A_0132;N_A_0133;N_A_0134;N_A_0136;N_A_0137;N_A_0138;N_A_0141;N_A_0143;N_A_0150;N_A_0121;N_A_0123;N_A_0158;N_A_0159;N_A_0161;N_A_0129;N_A_0163;N_A_0164;N_A_0167;N_A_0170;N_A_0171;N_A_0028;N_A_0135;N_A_0131;N_A_0127;N_A_0151;N_A_0118,N_A_0043;N_A_0120;N_A_0121;N_A_0123;N_A_0125;N_A_0127;N_A_0129;N_A_0131;N_A_0134;N_A_0135;N_A_0138;N_A_0139;N_A_0140;N_A_0142;N_A_0151;N_A_0154;N_A_0155;N_A_0159;N_A_0162;N_A_0132;N_A_0136;N_A_0141;N_A_0143;N_A_0174;N_A_0044;N_A_0193
